AVA 901 36/1	R1A	EA 15 Functional Structure	15
. . . . . 1/CAX 105 6426	R1A	python-libconfig	0.0.1
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . . CAA 901 3100/3	R1A	GPEH adapter	
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3341	R1A	python-libconfig	0.0.1
. . . . . 1/CAX 105 6426	R1A	python-libconfig	0.0.1
. . . . CXS 102 3157	R1A	asn1c 0.9.24	0.9.24
. . . . . 2/CAX 105 5427	R1A	asn1c, Lev Walkin	0.9.24
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . . CAA 901 3119/3	R1A	CTUM adapter	
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . . CAA 901 3120/3	R1A	CTR adapter	
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3157	R1A	asn1c 0.9.24	0.9.24
. . . . . 2/CAX 105 5427	R1A	asn1c, Lev Walkin	0.9.24
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
. . . . CXS 102 3340	R3A	redis	2.8.17
. . . . . 7/CAX 105 5407	R1A	Redis	2.8.9
. . . . CXS 102 3217	R3A	ZeroMQ	4.0.4
. . . . . 6/CAX 105 5436	R1A	ZeroMQ	4.0.4
. . . . 10/CAX 105 4177	R1A	RedHat Enterprise Linux (RHEL), RedHat	6.5
. . . CAA 901 3121/3	R1A	Uplane perf adapter	
. . . . CXS 102 3142	R1A	libconfig 1.4.5	1.4.5
. . . . . 3/CAX 105 5885	R1A	libconfig, hyperrealm	1.4.5
. . . . CXS 102 3338	R2A	Avro	1.7.6
. . . . . 6/CAX 105 4634	R1A	Avro, Apache	1.7.6
. . . . CXS 102 3807	R1A	GCC - GNU Compiler Collection	
. . . . . 17/CAX 105 3010	R1A	GCC - GNU Compiler Collection	4.6.4
. . . . CXS 102 3144	R1A	postgresql  8.4.13	9.2.0
. . . . . 20/CAX 105 3082	R1A	PostgreSQL	9.2.0
